Country,Number
Afghanistan,9052
Albania,4551
Algeria,1863
Angola,38
Antigua and Barbuda,205
Argentina,618
Armenia,2220
Australia,1056
Austria,97
Azerbaijan,714
Bahamas,153
Bahrain,25
Bangladesh,13160
Barbados,148
Belarus,1321
Belgium,156
Belize,311
Benin,430
Bhutan,33
Bolivia,550
Bosnia and Herzegovina,219
Botswana,8
Brazil,3724
Bulgaria,812
Burkina Faso,309
Burma,1314
Burundi,208
Cabo Verde,1342
Cambodia,1890
Cameroon,2763
Canada,4210
Central African Republic,18
Chad,56
Chile,306
"China, People's Republic",27004
Colombia,5847
"Congo, Democratic Republic",3294
"Congo, Republic",195
Costa Rica,647
Cote d'Ivoire,847
Croatia,78
Cuba,6602
Cyprus,20
Czechia,102
Denmark,88
Djibouti,55
Dominica,330
Dominican Republic,39140
Ecuador,5924
Egypt,6450
El Salvador,10900
Equatorial Guinea,D
Eritrea,899
Estonia,50
Eswatini (formerly Swaziland),5
Ethiopia,5431
Fiji,573
Finland,96
France,928
Gabon,22
Gambia,849
Georgia,1007
Germany,1282
Ghana,6208
Greece,318
Grenada,232
Guatemala,5689
Guinea,1180
Guinea-Bissau,26
Guyana,3620
Haiti,7105
Honduras,6427
Hungary,232
Iceland,14
India,23968
Indonesia,560
Iran,628
Iraq,1689
Ireland,323
Israel,759
Italy,926
Jamaica,10680
Japan,1462
Jordan,3356
Kazakhstan,593
Kenya,3123
"Korea, South",5039
Kosovo,666
Kuwait,18
Kyrgyzstan,471
Laos,316
Latvia,96
Lebanon,1430
Liberia,2383
Libya,151
Lithuania,254
Luxembourg,D
Madagascar,29
Malawi,27
Malaysia,335
Mali,356
Malta,5
Marshall Islands,D
Mauritania,115
Mauritius,19
Mexico,55918
"Micronesia, Federated States",D
Moldova,808
Mongolia,314
Montenegro,168
Morocco,2670
Mozambique,10
Namibia,14
Nepal,5290
Netherlands,385
New Zealand,344
Nicaragua,2124
Niger,80
Nigeria,6667
North Macedonia (formerly Macedonia),631
Norway,72
Oman,D
Pakistan,8934
Palau,-
Panama,345
Papua New Guinea,4
Paraguay,105
Peru,4737
Philippines,28059
Poland,1315
Portugal,220
Qatar,D
Romania,793
Russia,4468
Rwanda,495
Saint Kitts and Nevis,159
Saint Lucia,310
Saint Vincent and the Grenadines,171
Samoa,29
Saudi Arabia,100
Senegal,1097
Serbia,491
Serbia and Montenegro (former),5
Sierra Leone,1020
Singapore,166
Slovakia,91
Slovenia,11
Somalia,335
South Africa,824
South Sudan,129
Soviet Union (former),D
Spain,631
Sri Lanka,779
Sudan,2172
Suriname,50
Sweden,245
Switzerland,138
Syria,467
Taiwan,2198
Tajikistan,920
Tanzania,231
Thailand,1388
Togo,1270
Tonga,70
Trinidad and Tobago,1296
Tunisia,197
Turkey,2311
Turkmenistan,195
Uganda,536
Ukraine,4392
United Arab Emirates,8
United Kingdom,3477
United States,9
Uruguay,121
Uzbekistan,1548
Venezuela,2509
Vietnam,30233
Yemen,3443
Zambia,88
Zimbabwe,221
All other countries1,26
Unknown,4787
